tick,year,revenue,ebit,capx,debt,mktcap
AMZN,2000.0,2762.0,-663.57,134.76,2127.5,5557.99125
AMZN,2001.0,3122.4,-230.67,50.321,2156.1,4038.21876
AMZN,2002.0,3932.9,105.7,39.163,2245.7,7327.54434
AMZN,2003.0,5263.7,270.74,45.963,1925.4,21224.48748
AMZN,2004.0,6921.1,431.38,89.133,1847.4,18146.10019
AMZN,2005.0,8490.0,465.0,204.0,1521.0,19614.4
AMZN,2006.0,10711.0,409.0,216.0,1267.0,16336.44
AMZN,2007.0,14835.0,655.0,224.0,1344.0,38538.24
AMZN,2008.0,19166.0,789.0,333.0,533.0,21947.84
AMZN,2009.0,24509.0,1183.0,373.0,252.0,59726.88000000001
AMZN,2010.0,34204.0,1407.0,979.0,641.0,81180.0
AMZN,2011.0,48077.0,867.0,1811.0,1415.0,78760.5
AMZN,2012.0,61093.0,672.0,3785.0,3830.0,113894.98
AMZN,2013.0,74452.0,691.0,3444.0,5181.0,183044.61000000002
AMZN,2014.0,88988.0,130.0,4893.0,12489.0,144121.5744
AMZN,2015.0,107010.0,2176.0,4589.0,14183.0,318344.19
AMZN,2016.0,135990.0,4066.0,6737.0,15213.0,357687.99
AMZN,2017.0,177870.0,3954.0,11955.0,37926.0,563534.8478400001
AMZN,2018.0,232890.0,12242.0,13427.0,39787.0,734416.7689300001
AMZN,2019.0,280520.0,14177.0,16861.0,63205.0,920224.3200000001
AMZN,2020.0,386060.0,22315.0,40140.0,87789.0,1638235.79
AMZN,2021.0,469820.0,24429.0,61053.0,122600.0,1697179.06
AMZN,2022.0,513980.0,12907.0,63645.0,146820.0,860328.0
AMZN,2023.0,574780.0,36913.0,52729.0,142210.0,1556169.48
HRL,2000.0,3675.1,262.61,100.12,145.93,2612.286625
HRL,2001.0,4124.1,300.31,77.129,462.41,3727.2451800000003
HRL,2002.0,3910.3,310.51,64.465,409.65,3229.43192
HRL,2003.0,4200.3,307.02,67.104,395.27,3579.15013
HRL,2004.0,4779.9,357.02,80.363,361.51,4323.6666000000005
HRL,2005.0,5414.0,418.57,107.09,350.43,4510.1668
HRL,2006.0,5745.5,448.91,141.52,350.05,5138.992180000001
HRL,2007.0,6193.0,478.57,125.8,350.0,5485.60672
HRL,2008.0,6754.9,509.43,125.89,350.0,4181.06808
HRL,2009.0,6533.7,531.79,96.961,350.0,5138.03505
HRL,2010.0,7220.7,643.18,89.823,0.0,6823.936239999999
HRL,2011.0,7895.1,715.53,96.911,250.0,7733.64373
HRL,2012.0,8230.7,725.98,132.3,250.0,8227.330520000001
HRL,2013.0,8751.7,793.18,106.76,250.0,11909.928730000001
HRL,2014.0,9316.3,923.34,159.14,250.0,13735.5398
HRL,2015.0,9263.9,1084.5,144.06,250.0,20895.229320000002
HRL,2016.0,9523.2,1286.2,255.52,250.0,18407.59762
HRL,2017.0,9167.5,1241.1,221.29,250.0,19271.598149999998
HRL,2018.0,9545.7,1157.2,389.61,624.84,22816.55728
HRL,2019.0,9497.3,1140.6,293.84,250.0,24121.98607
HRL,2020.0,9608.5,1064.6,367.5,1088.1,25165.577980000002
HRL,2021.0,11386.0,1118.0,232.42,3371.9,26482.841700000004
HRL,2022.0,12459.0,1285.4,278.92,3346.1,24889.6132
HRL,2023.0,12110.0,1126.0,270.21,2468.0,17559.0324
